"url","itemId","itemName","brandName","itemDepartment","itemCategory","itemComposition","itemPairing"
"http://www.next.co.uk/style/ls253600/P51349#P51349","Style751486","Aab Premium Jersey Head Scarf","Aab","Womenswear","Hijab","95% Viscose, 5% Elastane.",""
"http://www.next.co.uk/style/ls287749/Q18914#Q18914","Style838915","Aab Rayas Maxi Dress","Aab","Womenswear","Dresses","100% Polyester.",""
"http://www.next.co.uk/style/ls259556/P77399#P77399","Style754226","Aab Heavy Rib Jumper Dress","Aab","Womenswear","Dresses","100% Acrylic.",""
"http://www.next.co.uk/style/ls259553/P77396#P77396","Style753844","Aab Turtle Neck Knit Maxi Jumper","Aab","Womenswear","Jumpers","100% Acrylic.",""
"http://www.next.co.uk/style/ls287738/P94797#P94797","Style839324","Aab Cotton Shirted Maxi Dress","Aab","Womenswear","Dresses","100% Cotton.",""
"http://www.next.co.uk/style/ls253596/P51195#P51195","Style750148","Aab Relaxed Fit Jumper Dress","Aab","Womenswear","Dresses","100% Acrylic.",""
"http://www.next.co.uk/style/ls253593/P51194#P51194","Style751485","Aab Relaxed Fit Hoodie","Aab","Womenswear","Hoodies","100% Acrylic.",""
"http://www.next.co.uk/style/ls253584/P51191#P51191","Style750176","Aab Belted Cardigan","Aab","Womenswear","Cardigans","100% Acrylic.",""
"http://www.next.co.uk/style/ls253597/P51196#P51196","Style750177","Aab Roll Neck Maxi","Aab","Womenswear","Dresses","100% Acrylic.",""
"http://www.next.co.uk/style/ls287735/P94794#P94794","Style839323","Aab Jasmine Maxi Dress","Aab","Womenswear","Dresses","100% Polyester.",""
"http://www.next.co.uk/style/ls259562/P77405#P77405","Style754230","Aab Knitted Coatigan","Aab","Womenswear","Coats","100% Acrylic.",""
"http://www.next.co.uk/style/ls259558/P77400#P77400","Style754227","Aab Soft Knit Jumper Dress","Aab","Womenswear","Dresses","100% Acrylic.",""
"http://www.next.co.uk/style/ls253587/P50758#P50758","Style750089","Aab Cable Knit Maxi Dress","Aab","Womenswear","Dresses","100% Acrylic.",""
"http://www.next.co.uk/style/ls259554/P77397#P77397","Style754225","Aab Relaxed Roll Neck Midi Jumper","Aab","Womenswear","Jumpers","100% Acrylic.",""
"http://www.next.co.uk/style/ls259560/P77403#P77403","Style754229","Aab Loose Fit Knit Midi Jumper","Aab","Womenswear","Jumpers","100% Acrylic.",""
"http://www.next.co.uk/style/ls253597/P51198#P51198","Style750177","Aab Roll Neck Maxi","Aab","Womenswear","Dresses","100% Acrylic.",""
"http://www.next.co.uk/style/ls253597/P51197#P51197","Style750177","Aab Roll Neck Maxi","Aab","Womenswear","Dresses","100% Acrylic.",""
"http://www.next.co.uk/style/ls259572/Q06516#Q06516","Style754232","Aab Ombre Modal Head Scarf","Aab","Womenswear","Hijab","100% Modal.",""
"http://www.next.co.uk/style/ls253600/P51418#P51418","Style751486","Aab Premium Jersey Head Scarf","Aab","Womenswear","Hijab","95% Viscose, 5% Elastane.",""
"http://www.next.co.uk/style/ls259581/Q06527#Q06527","Style756536","Aab Aloe Vera Head Scarf","Aab","Womenswear","Hijab","100% Other fibres.",""
"http://www.next.co.uk/style/ls287743/Q18924#Q18924","Style839328","Aab Mid Length Cotton Hoodie","Aab","Womenswear","Hoodies","100% Cotton.",""
"http://www.next.co.uk/style/ls253590/P51189#P51189","Style750147","Aab Chunky Knit Collared Maxi Jumper Dress","Aab","Womenswear","Dresses","100% Acrylic.",""
